keyword;keyword_type;syntax_highlight_type
_CONTROL;Appbuilder;Preprocessor
_CREATE-WINDOW;Appbuilder;Preprocessor
_CUSTOM;Appbuilder;Preprocessor
_DEFAULT-DISABLE;Appbuilder;Preprocessor
_DEFAULT-ENABLE;Appbuilder;Preprocessor
_DEFINITIONS;Appbuilder;Preprocessor
_DISPLAY-FIELDS;Appbuilder;Preprocessor
_END-PROCEDURE-SETTINGS;Appbuilder;Preprocessor
_FREEFORM;Appbuilder;Preprocessor
_FUNCTION-FORWARD;Appbuilder;Preprocessor
_FUNCTION;Appbuilder;Preprocessor
_INLINE;Appbuilder;Preprocessor
_MAIN-BLOCK;Appbuilder;Preprocessor
_PROCEDURE-SETTINGS;Appbuilder;Preprocessor
_PROCEDURE;Appbuilder;Preprocessor
_QUERY-BLOCK;Appbuilder;Preprocessor
_RUN-TIME-ATTRIBUTES;Appbuilder;Preprocessor
_UIB-CODE-BLOCK;Appbuilder;Preprocessor
_UIB-PREPROCESSOR-BLOCK;Appbuilder;Preprocessor
_VERSION-NUMBER;Appbuilder;Preprocessor
_XFTR;Appbuilder;Preprocessor
&ANALYZE-RESUME;Appbuilder;Keyword
&ANALYZE-SUSPEND;Appbuilder;Keyword
&BATCH-MODE;Preprocessor;Preprocessor
&ELSE;Preprocessor;Preprocessor
&ELSEIF;Preprocessor;Preprocessor
&ENDIF;Preprocessor;Preprocessor
&FILE-NAME;Preprocessor;Preprocessor
&GLOB;Preprocessor;Preprocessor
&GLOBAL-DEFINE;Preprocessor;Preprocessor
&IF;Preprocessor;Preprocessor
&LINE-NUMBER;Preprocessor;Preprocessor
&MESSAGE;Preprocessor;Preprocessor
&OPEN-QUERY-;Preprocessor;Preprocessor
&OPSYS;Preprocessor;Preprocessor
&SCOPED-DEFINE;Preprocessor;Preprocessor
&SCOPED;Preprocessor;Preprocessor
&SEQUENCE;Preprocessor;Preprocessor
&THEN;Preprocessor;Preprocessor
&UNDEFINE;Preprocessor;Preprocessor
&WINDOW-SYSTEM;Preprocessor;Preprocessor
ABS;Function;Keyword
ABSOLUTE;Function;Keyword
ABSTRACT;Option;Keyword
ACCELERATOR;Attribute;Keyword
ACCELERATOR;Option;Keyword
ACCEPT-CHANGES;Method;Keyword
ACCEPT-ROW-CHANGES;Method;Keyword
AccountExpired;Property;Keyword
ACCUM;Function;Keyword
ACCUM;Option;Keyword
ACCUM;Statement;Statement
ACCUMULATE;Statement;Statement
ActBufferId;Property;Keyword
ActIndexId;Property;Keyword
ActIOFileId;Property;Keyword
ActIOTypeId;Property;Keyword
ACTIVE-FORM;Handle;Keyword
ACTIVE-WINDOW;Handle;Keyword
ACTIVE;Attribute;Keyword
ActivityName;Property;Keyword
ACTOR;Attribute;Keyword
ActOtherId;Property;Keyword
ActRecordId;Property;Keyword
ActSpaceId;Property;Keyword
ActSummaryId;Property;Keyword
ADD-BUFFER;Method;Keyword
ADD-CALC-COLUMN;Method;Keyword
ADD-COLUMNS-FROM;Method;Keyword
ADD-EVENTS-PROCEDURE;Method;Keyword
